HOSTNAME,Environment,PWMessagingRole,AppRole,AppPoolRecycleTime,ServerGroup,Site
US1I-PALPAWW01,CPAINT2,App,,0:00:00,,
US1I-PALPAWW02,CPAINT2,App,,0:15:00,,
US1I-PALPAWW03,CPAINT2,App,,0:30:00,,
US1I-PALPAWW04,CPAINT2,App,,0:45:00,,
US1I-PALPWWW01,CPAINT2,App,,0:00:00,,
US1I-PALPWWW02,CPAINT2,App,,0:15:00,,
US1I-PALPWWW03,CPAINT2,App,,0:30:00,,
US1I-PALPWWW04,CPAINT2,App,,0:45:00,,
US1I-PALPWWW05,CPAINT2,App,,1:00:00,,
US1I-PALPWCA01,CPAINT2,App,RemoteCP,0:00:00,,
US1I-PALPWCA02,CPAINT2,App,RemoteCP,0:15:00,,
US1I-PALPWCA03,CPAINT2,App,RemoteCP,0:30:00,,
US1I-PALPWCA04,CPAINT2,App,RemoteCP,0:45:00,,
US1I-PALASAP01,CPAINT2,App,,0:00:00,,
US1I-PALASAP02,CPAINT2,App,,0:15:00,,
US1I-PALASAP03,CPAINT2,App,,0:30:00,,
US1I-PALASAP04,CPAINT2,App,,0:45:00,,
US1I-PALASAP05,CPAINT2,App,,0:55:00,,
US1I-PALUTIL01A,CPAINT2,Util,PA,,Primary,
US1I-PALUTIL02B,CPAINT2,Util,PA,,Secondary,
US1I-PALUTIL03A,CPAINT2,Util,,,Primary,
US1I-PALUTIL04B,CPAINT2,Util,,,Secondary,
US2P-PALPAWW01,CPUS2P,App,,0:00:00,,PRIMARY
US2P-PALPAWW02,CPUS2P,App,,0:15:00,,PRIMARY
US2P-PALPAWW03,CPUS2P,App,,0:30:00,,PRIMARY
US2P-PALPAWW04,CPUS2P,App,,0:45:00,,PRIMARY
US2P-PALPAWW05,CPUS2P,App,,1:00:00,,PRIMARY
US2P-PALPAWW06,CPUS2P,App,,1:15:00,,PRIMARY
US2P-PALPAWW07,CPUS2P,App,,1:30:00,,PRIMARY
US2P-PALPAWW08,CPUS2P,App,,1:45:00,,PRIMARY
US2P-PALPLWW01,CPUS2P,App,,,,PRIMARY
US2P-PALPWWW01,CPUS2P,App,,0:00:00,,PRIMARY
US2P-PALPWWW02,CPUS2P,App,,0:15:00,,PRIMARY
US2P-PALPWWW03,CPUS2P,App,,0:30:00,,PRIMARY
US2P-PALPWWW04,CPUS2P,App,,0:45:00,,PRIMARY
US2P-PALPWWW05,CPUS2P,App,,1:00:00,,PRIMARY
US2P-PALUTIL01A,CPUS2P,Util,PA,,Primary,PRIMARY
US2P-PALUTIL02B,CPUS2P,Util,PA,,Secondary,PRIMARY
US2P-PALUTIL03A,CPUS2P,Util,,,Primary,PRIMARY
US2P-PALUTIL04B,CPUS2P,Util,,,Secondary,PRIMARY
US2P-PALASAP01,CPUS2P,App,,0:00:00,,
US2P-PALASAP02,CPUS2P,App,,0:15:00,,
US2P-PALASAP03,CPUS2P,App,,0:30:00,,
US2P-PALASAP04,CPUS2P,App,,0:45:00,,
US2P-PALASAP05,CPUS2P,App,,0:55:00,,
US2P-PALADMN01,CPUS2P,,,,,PRIMARY
US2P-PALSTAG01,CPUS2P,,,,,PRIMARY
US2P-PALSTAG02,CPUS2P,,,,,PRIMARY
US1P-PALPAWW01,CPUS1P,APP,,0:00:00,,DR
US1P-PALPAWW02,CPUS1P,APP,,0:15:00,,DR
US1P-PALPAWW03,CPUS1P,APP,,0:30:00,,DR
US1P-PALPAWW04,CPUS1P,APP,,0:45:00,,DR
US1P-PALPAWW05,CPUS1P,App,,1:00:00,,DR
US1P-PALPAWW06,CPUS1P,App,,1:15:00,,DR
US1P-PALPAWW07,CPUS1P,App,,1:30:00,,DR
US1P-PALPAWW08,CPUS1P,App,,1:45:00,,DR
US1P-PALPLWW01,CPUS1P,App,,,,DR
US1P-PALPWWW01,CPUS1P,APP,,0:00:00,,DR
US1P-PALPWWW02,CPUS1P,APP,,0:15:00,,DR
US1P-PALPWWW03,CPUS1P,APP,,0:30:00,,DR
US1P-PALPWWW04,CPUS1P,APP,,0:45:00,,DR
US1P-PALPWWW05,CPUS1P,APP,,1:00:00,,DR
US1P-PALUTIL01A,CPUS1P,Util,PA,,Primary,DR
US1P-PALUTIL02B,CPUS1P,Util,PA,,Secondary,DR
US1P-PALUTIL03A,CPUS1P,Util,,,Primary,DR
US1P-PALUTIL04B,CPUS1P,Util,,,Secondary,DR
US1P-PALASAP01,CPUS1P,App,,0:00:00,,
US1P-PALASAP02,CPUS1P,App,,0:15:00,,
US1P-PALASAP03,CPUS1P,App,,0:30:00,,
US1P-PALASAP04,CPUS1P,App,,0:45:00,,
US1P-PALASAP05,CPUS1P,App,,0:55:00,,
US1P-PALSTAG01,CPUS1P,App,,,,DR
US1P-PALSTAG02,CPUS1P,App,,,,DR
US1S-PALPAWW01,CPUS1S,App,,0:00:00,,
US1S-PALPAWW02,CPUS1S,APP,,0:15:00,,
US1S-PALPAWW03,CPUS1S,APP,,0:30:00,,
US1S-PALPAWW04,CPUS1S,APP,,0:45:00,,
US1S-PALPWWW01,CPUS1S,APP,,0:00:00,,
US1S-PALPWWW02,CPUS1S,APP,,0:15:00,,
US1S-PALPWWW03,CPUS1S,APP,,0:30:00,,
US1S-PALPWWW04,CPUS1S,APP,,0:45:00,,
US1S-PALPWWW05,CPUS1S,APP,,1:00:00,,
US1S-PALUTIL01A,CPUS1S,Util,PA,,Primary,
US1S-PALUTIL02B,CPUS1S,Util,PA,,Secondary,
US1S-PALUTIL03A,CPUS1S,Util,,,Primary,
US1S-PALUTIL04B,CPUS1S,Util,,,Secondary,
US1S-PALASAP01,CPUS1S,App,,0:00:00,,
US1S-PALASAP02,CPUS1S,App,,0:15:00,,
US1S-PALASAP03,CPUS1S,App,,0:30:00,,
US1S-PALASAP04,CPUS1S,App,,0:45:00,,
US1S-PALASAP05,CPUS1S,App,,0:55:00,,
UK2P-PALPWWW01,CPUK2P,APP,,0:00:00,Primary,
UK2P-PALPWWW02,CPUK2P,APP,,0:15:00,,
UK2P-PALPWWW03,CPUK2P,APP,,0:30:00,,
UK2P-PALPWWW04,CPUK2P,APP,,0:45:00,,
UK2P-PALPWWW05,CPUK2P,APP,,1:00:00,,
UK2P-PALPWWW06,CPUK2P,APP,,1:15:00,,
SG1P-PALPWWW01,CPSG1P,APP,,0:00:00,Primary,
SG1P-PALPWWW02,CPSG1P,APP,,0:15:00,,
SG1P-PALPWWW03,CPSG1P,APP,,0:30:00,,
SG1P-PALPWWW04,CPSG1P,APP,,0:45:00,,
SG1P-PALPWWW05,CPSG1P,APP,,1:00:00,,
SG1P-PALPWWW06,CPSG1P,APP,,1:15:00,,
DTCP-PALPWWW01,CPDTCP,APP,,0:00:00,Primary,
DTCP-PALPWWW02,CPDTCP,APP,,0:15:00,,
DTCP-PALPWWW03,CPDTCP,APP,,0:30:00,,
DTCP-PALPWWW04,CPDTCP,APP,,0:45:00,,
DTCP-PALPWWW05,CPDTCP,APP,,1:00:00,,
DTCP-PALPWWW06,CPDTCP,APP,,1:15:00,,
SFPA-DEVINT01,DEVINT,App,,0:00:00,
SFPA-DEVINT02,DEVINT,App,,0:15:00,
PA-DEVINTUTIL01,DEVINT,App,PA,,Primary
ASAP-Devint01,DEVINT,App,,0:00:00,
ASAP-Devint02,DEVINT,Util,ASAP,0:15:00,Primary
SF-PWDevint-01,DEVINT,App,,0:00:00,
PWDevUtil1,DEVINT,Util,,,Primary
PWDevUtil2,DEVINT,Util,,,Secondary
SF-ASAP-QA01,DEV,Util,ASAP,0:00:00,Primary
SF-ASAP-Dev-01,DEV,App,,0:15:00,
SFPW-DEV01,DEV,App,,0:00:00,
PWH-DEV64-01,DEV,App,,0:00:00,
SF-PWDEV-02,DEV,Util,,,Primary,PRIMARY
PWQA64-04,QA,App,,0:00:00,
SFPWQAUtil-01,QA,Util,,,Primary,PRIMARY
SFPWQAUtil-02,QA,Util,,,Primary,PRIMARY
PWQA64-01,QA,App,,0:00:00,
SFPA-QA01,QA,APP,PA,0:00:00,,
SF-ASAP-QA03,QA,App,,0:00:00,
SF-ASAP-QA02,QA,Util,ASAP,0:15:00,Primary
ASAPstg-01,STG,App,,0:00:00,
ASAPstg-02,STG,Util,,,Primary
STG2008-02,STG,App,,0:15:00,
SFPA-QA02,STG,APP,PA,0:00:00,,
TOPAS-APP-12,OCP,App,,0:00:00,,PRIMARY
TOPAS-APP-13,OCP,App,,0:15:00,,PRIMARY
TOPAS-APP-14,OCP,App,,0:30:00,,PRIMARY
TOPAS-APP-15,OCP,App,,0:45:00,,PRIMARY
Topas-App-17,OCP,APP,,0:00:00,
Topas-App-18,OCP,APP,,0:00:15,
Topas-App-19,OCP,APP,,0:00:30,
TOPAS-APP-20,OCP,App,,0:00:00,,PRIMARY
TOPAS-APP-21,OCP,App,,0:15:00,,PRIMARY
TOPAS-APP-22,OCP,App,,0:30:00,,PRIMARY
TOPAS-APP-24,OCP,App,PA,0:00:00,,PRIMARY
TOPAS-APP-25,OCP,App,PA,0:15:00,,PRIMARY
Topas-App-27,OCP,UTIL,ASAP,0:00:00,Primary
Topas-App-28,OCP,UTIL,ASAP,0:00:15,Secondary
TOPAS-APP-29,OCP,Util,,,Primary,PRIMARY
TOPAS-APP-30,OCP,Util,,,Primary,PRIMARY
TOPAS-APP-33,OCP,App,PA,0:30:00,,PRIMARY
TOPAS-APP-34,OCP,App,PA,0:45:00,,PRIMARY
TOPAS-APP-35,OCP,App,PA,0:00:00,,PRIMARY
DUMMYSERVER,RM_QA,INT,,0:00:00,Primary
PROD_Machine,ASAP_PRODINT,INT,,0:00:00,Primary
PA-DEV-06,RM_DEVINT,Util,ASAP,0:15:00,Primary
PA-DEV-04,RM_DEVINT,INT,,0:00:00,Primary
PA-DEV-05,RM_DEV,INT,,0:00:00,Primary
PA-DEV-02,DEV,APP,PA,0:00:00,,
NolioSrv03,DEVINT,APP,PA,0:00:00,,
Nolio-99,DevInt,APP,,0:00:00,,
Nolio-105,DevInt,APP,PA,0:00:00,,
Nolio-106,DevInt,APP,PA,0:00:00,,
Nolio-217,DevInt,APP,PA,0:00:00,,
Nolio-219,DevInt,APP,PA,0:00:00,,
PWstg2008-01,STG,App,,0:00:00,
PWstg2008-02,STG,Util,,,Primary,PRIMARY
DEV-HDCPCLT01,dev-hdc-pcl,APP,,0:00:00,,
ASAP-Autotest-App,DEV_AUTOTEST,App,,0:00:00,
ASAP-Autotest-Util,DEV_AUTOTEST,Util,ASAP,0:15:00,Primary
